StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status
aru.27.123a4,pelagic,NA,NA,23859,NA,NA,NA,NA,NA,NA,NA,NA,GREY
cap.27.1-2,pelagic,NA,195000,195000,NA,NA,NA,2019,2019,NA,301615,NA,GREY
cod.27.1-2,demersal,1.055,778627,778627,NA,0.4,0.422,2019,2019,3.25137608695652,1495633,460000,RED
cod.27.1-2coast,demersal,NA,NA,36375,NA,NA,0.268,NA,NA,NA,NA,NA,GREY
gfb.27.nea,demersal,NA,2016,1503,513,NA,NA,NA,NA,NA,NA,NA,GREY
ghl.27.1-2,demersal,NA,28544,28544,NA,NA,0.039,2019,2019,NA,715671,NA,GREY
had.27.1-2,demersal,1.08,191276,191276,NA,0.35,0.378,2019,2019,2.7530625,220245,80000,RED
lin.27.1-2,demersal,NA,11613,11613,NA,NA,NA,NA,NA,NA,NA,NA,GREY
pok.27.1-2,demersal,NA,181283,181283,NA,NA,0.231,2019,2019,NA,555377,NA,GREY
pra.27.1-2,crustacean,0.083,29753,29753,NA,1,0.083,2018,2018,3.56,1.78,0.5,GREEN
reb.27.1-2,pelagic,NA,31201,31201,NA,NA,0.039,2018,2018,2.58503174603175,814285,315000,GREY
reg.27.1-2,demersal,5.80952380952381,5340,5340,NA,0.0525,0.305,NA,NA,NA,NA,NA,GREY
rjr.27.23a4,elasmobranch,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,GREY
rng.27.1245a8914ab,demersal,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,GREY
usk.27.1-2,demersal,NA,NA,10487,NA,NA,NA,NA,NA,NA,NA,NA,GREEN
