Year,StockKeyLabel,FisheriesGuild,AssessmentYear,F,FMSY,SSB,MSYBtrigger,catches,landings,discards
2013,gfb.27.nea,demersal,2018,NA,NA,2,NA,3328,2143,1185
2014,gfb.27.nea,demersal,2018,NA,NA,1,NA,3435,2269,1166
2015,gfb.27.nea,demersal,2018,NA,NA,1,NA,4242,2174,2068
2016,gfb.27.nea,demersal,2018,NA,NA,1,NA,2689,2012,677
2017,gfb.27.nea,demersal,2018,NA,NA,1,NA,2016,1503,513
1972,cap.27.1-2,pelagic,2019,NA,NA,2727000,NA,1591000,1591000,NA
1973,cap.27.1-2,pelagic,2019,NA,NA,1350000,NA,1337000,1337000,NA
1974,cap.27.1-2,pelagic,2019,NA,NA,907000,NA,1148000,1148000,NA
1975,cap.27.1-2,pelagic,2019,NA,NA,2916000,NA,1441000,1441000,NA
1976,cap.27.1-2,pelagic,2019,NA,NA,3200000,NA,2587000,2587000,NA
1977,cap.27.1-2,pelagic,2019,NA,NA,2676000,NA,2986000,2986000,NA
1978,cap.27.1-2,pelagic,2019,NA,NA,1402000,NA,1916000,1916000,NA
1979,cap.27.1-2,pelagic,2019,NA,NA,1227000,NA,1782000,1782000,NA
1980,cap.27.1-2,pelagic,2019,NA,NA,3913000,NA,1648000,1648000,NA
1981,cap.27.1-2,pelagic,2019,NA,NA,1551000,NA,1986000,1986000,NA
1982,cap.27.1-2,pelagic,2019,NA,NA,1591000,NA,1760000,1760000,NA
1983,cap.27.1-2,pelagic,2019,NA,NA,1329000,NA,2357000,2357000,NA
1984,cap.27.1-2,pelagic,2019,NA,NA,1208000,NA,1477000,1477000,NA
1985,cap.27.1-2,pelagic,2019,NA,NA,285000,NA,868000,868000,NA
1986,cap.27.1-2,pelagic,2019,NA,NA,65000,NA,123000,123000,NA
1987,cap.27.1-2,pelagic,2019,NA,NA,17000,NA,0,0,NA
1988,cap.27.1-2,pelagic,2019,NA,NA,2e+05,NA,0,0,NA
1989,cap.27.1-2,pelagic,2019,NA,NA,175000,NA,0,0,NA
1990,cap.27.1-2,pelagic,2019,NA,NA,2617000,NA,0,0,NA
1991,cap.27.1-2,pelagic,2019,NA,NA,2248000,NA,933000,933000,NA
1992,cap.27.1-2,pelagic,2019,NA,NA,2228000,NA,1123000,1123000,NA
1993,cap.27.1-2,pelagic,2019,NA,NA,330000,NA,586000,586000,NA
1994,cap.27.1-2,pelagic,2019,NA,NA,94000,NA,0,0,NA
1995,cap.27.1-2,pelagic,2019,NA,NA,118000,NA,0,0,NA
1996,cap.27.1-2,pelagic,2019,NA,NA,248000,NA,0,0,NA
1997,cap.27.1-2,pelagic,2019,NA,NA,312000,NA,1000,1000,NA
1998,cap.27.1-2,pelagic,2019,NA,NA,932000,NA,3000,3000,NA
1999,cap.27.1-2,pelagic,2019,NA,NA,1718000,NA,105000,105000,NA
2000,cap.27.1-2,pelagic,2019,NA,NA,2098000,NA,410000,410000,NA
2001,cap.27.1-2,pelagic,2019,NA,NA,2019000,NA,578000,578000,NA
2002,cap.27.1-2,pelagic,2019,NA,NA,1291000,NA,659000,659000,NA
2003,cap.27.1-2,pelagic,2019,NA,NA,280000,NA,282000,282000,NA
2004,cap.27.1-2,pelagic,2019,NA,NA,294000,NA,0,0,NA
2005,cap.27.1-2,pelagic,2019,NA,NA,174000,NA,1000,1000,NA
2006,cap.27.1-2,pelagic,2019,NA,NA,437000,NA,0,0,NA
2007,cap.27.1-2,pelagic,2019,NA,NA,844000,NA,4000,4000,NA
2008,cap.27.1-2,pelagic,2019,NA,NA,2468000,NA,12000,12000,NA
2009,cap.27.1-2,pelagic,2019,NA,NA,2323000,NA,307000,307000,NA
2010,cap.27.1-2,pelagic,2019,NA,NA,2051000,NA,323000,323000,NA
2011,cap.27.1-2,pelagic,2019,NA,NA,2115000,NA,360000,360000,NA
2012,cap.27.1-2,pelagic,2019,NA,NA,1997000,NA,296000,296000,NA
2013,cap.27.1-2,pelagic,2019,NA,NA,1471000,NA,177000,177000,NA
2014,cap.27.1-2,pelagic,2019,NA,NA,873000,NA,66000,66000,NA
2015,cap.27.1-2,pelagic,2019,NA,NA,375000,NA,115000,115000,NA
2016,cap.27.1-2,pelagic,2019,NA,NA,181000,NA,0,0,NA
2017,cap.27.1-2,pelagic,2019,NA,NA,1723000,NA,0,0,NA
2018,cap.27.1-2,pelagic,2019,NA,NA,1056000,NA,195000,195000,NA
2019,cap.27.1-2,pelagic,2019,NA,NA,301615,NA,0,0,NA
1946,cod.27.1-2,demersal,2019,0.213,0.4,990849,460000,706000,706000,NA
1947,cod.27.1-2,demersal,2019,0.315,0.4,1021359,460000,882017,882017,NA
1948,cod.27.1-2,demersal,2019,0.314,0.4,837151,460000,774295,774295,NA
1949,cod.27.1-2,demersal,2019,0.364,0.4,624676,460000,800122,800122,NA
1950,cod.27.1-2,demersal,2019,0.375,0.4,561970,460000,731982,731982,NA
1951,cod.27.1-2,demersal,2019,0.426,0.4,511078,460000,827180,827180,NA
1952,cod.27.1-2,demersal,2019,0.52,0.4,499222,460000,876795,876795,NA
1953,cod.27.1-2,demersal,2019,0.395,0.4,396048,460000,695546,695546,NA
1954,cod.27.1-2,demersal,2019,0.416,0.4,409556,460000,826021,826021,NA
1955,cod.27.1-2,demersal,2019,0.502,0.4,331358,460000,1147841,1147841,NA
1956,cod.27.1-2,demersal,2019,0.613,0.4,284149,460000,1343068,1343068,NA
1957,cod.27.1-2,demersal,2019,0.525,0.4,206883,460000,792557,792557,NA
1958,cod.27.1-2,demersal,2019,0.527,0.4,204280,460000,769313,769313,NA
1959,cod.27.1-2,demersal,2019,0.532,0.4,442991,460000,744607,744607,NA
1960,cod.27.1-2,demersal,2019,0.512,0.4,402990,460000,622042,622042,NA
1961,cod.27.1-2,demersal,2019,0.647,0.4,406033,460000,783221,783221,NA
1962,cod.27.1-2,demersal,2019,0.758,0.4,320206,460000,909266,909266,NA
1963,cod.27.1-2,demersal,2019,0.874,0.4,214441,460000,776337,776337,NA
1964,cod.27.1-2,demersal,2019,0.675,0.4,192096,460000,437695,437695,NA
1965,cod.27.1-2,demersal,2019,0.555,0.4,106528,460000,444930,444930,NA
1966,cod.27.1-2,demersal,2019,0.506,0.4,121929,460000,483711,483711,NA
1967,cod.27.1-2,demersal,2019,0.536,0.4,133538,460000,572605,572605,NA
1968,cod.27.1-2,demersal,2019,0.579,0.4,228937,460000,1074084,1074084,NA
1969,cod.27.1-2,demersal,2019,0.759,0.4,151312,460000,1197226,1197226,NA
1970,cod.27.1-2,demersal,2019,0.697,0.4,230628,460000,933246,933246,NA
1971,cod.27.1-2,demersal,2019,0.585,0.4,319334,460000,689048,689048,NA
1972,cod.27.1-2,demersal,2019,0.691,0.4,365182,460000,565254,565254,NA
1973,cod.27.1-2,demersal,2019,0.607,0.4,324238,460000,792685,792685,NA
1974,cod.27.1-2,demersal,2019,0.635,0.4,159552,460000,1102433,1102433,NA
1975,cod.27.1-2,demersal,2019,0.635,0.4,130574,460000,829377,829377,NA
1976,cod.27.1-2,demersal,2019,0.659,0.4,167876,460000,867463,867463,NA
1977,cod.27.1-2,demersal,2019,0.806,0.4,352518,460000,905301,905301,NA
1978,cod.27.1-2,demersal,2019,0.971,0.4,234824,460000,698715,698715,NA
1979,cod.27.1-2,demersal,2019,0.782,0.4,165128,460000,440538,440538,NA
1980,cod.27.1-2,demersal,2019,0.776,0.4,102622,460000,380434,380434,NA
1981,cod.27.1-2,demersal,2019,0.765,0.4,151677,460000,399038,399038,NA
1982,cod.27.1-2,demersal,2019,0.814,0.4,310238,460000,363730,363730,NA
1983,cod.27.1-2,demersal,2019,0.776,0.4,281458,460000,289992,289992,NA
1984,cod.27.1-2,demersal,2019,0.887,0.4,227619,460000,277651,277651,NA
1985,cod.27.1-2,demersal,2019,0.789,0.4,187504,460000,307920,307920,NA
1986,cod.27.1-2,demersal,2019,0.904,0.4,162209,460000,430113,430113,NA
1987,cod.27.1-2,demersal,2019,1.02,0.4,110255,460000,523071,523071,NA
1988,cod.27.1-2,demersal,2019,0.954,0.4,179367,460000,434939,434939,NA
1989,cod.27.1-2,demersal,2019,0.649,0.4,234248,460000,332481,332481,NA
1990,cod.27.1-2,demersal,2019,0.368,0.4,331888,460000,212000,212000,NA
1991,cod.27.1-2,demersal,2019,0.317,0.4,706539,460000,319158,319158,NA
1992,cod.27.1-2,demersal,2019,0.448,0.4,908683,460000,513234,513234,NA
1993,cod.27.1-2,demersal,2019,0.577,0.4,775845,460000,581611,581611,NA
1994,cod.27.1-2,demersal,2019,0.797,0.4,591364,460000,771086,771086,NA
1995,cod.27.1-2,demersal,2019,0.782,0.4,523318,460000,739999,739999,NA
1996,cod.27.1-2,demersal,2019,0.766,0.4,546404,460000,732228,732228,NA
1997,cod.27.1-2,demersal,2019,0.947,0.4,544203,460000,762403,762403,NA
1998,cod.27.1-2,demersal,2019,0.96,0.4,377854,460000,592624,592624,NA
1999,cod.27.1-2,demersal,2019,0.96,0.4,283058,460000,484910,484910,NA
2000,cod.27.1-2,demersal,2019,0.823,0.4,239037,460000,414868,414868,NA
2001,cod.27.1-2,demersal,2019,0.707,0.4,363501,460000,426471,426471,NA
2002,cod.27.1-2,demersal,2019,0.655,0.4,505998,460000,535045,535045,NA
2003,cod.27.1-2,demersal,2019,0.576,0.4,595218,460000,551990,551990,NA
2004,cod.27.1-2,demersal,2019,0.72,0.4,709114,460000,606445,606445,NA
2005,cod.27.1-2,demersal,2019,0.72,0.4,615647,460000,641276,641276,NA
2006,cod.27.1-2,demersal,2019,0.659,0.4,602187,460000,537642,537642,NA
2007,cod.27.1-2,demersal,2019,0.453,0.4,653169,460000,486883,486883,NA
2008,cod.27.1-2,demersal,2019,0.319,0.4,688680,460000,464171,464171,NA
2009,cod.27.1-2,demersal,2019,0.272,0.4,1099774,460000,523430,523430,NA
2010,cod.27.1-2,demersal,2019,0.277,0.4,1398250,460000,609983,609983,NA
2011,cod.27.1-2,demersal,2019,0.268,0.4,2012786,460000,719830,719830,NA
2012,cod.27.1-2,demersal,2019,0.243,0.4,2334475,460000,727663,727663,NA
2013,cod.27.1-2,demersal,2019,0.271,0.4,2645872,460000,966209,966209,NA
2014,cod.27.1-2,demersal,2019,0.299,0.4,2507946,460000,986449,986449,NA
2015,cod.27.1-2,demersal,2019,0.318,0.4,2071319,460000,864384,864384,NA
2016,cod.27.1-2,demersal,2019,0.33,0.4,1700333,460000,849422,849422,NA
2017,cod.27.1-2,demersal,2019,0.387,0.4,1821497,460000,868276,868276,NA
2018,cod.27.1-2,demersal,2019,0.422,0.4,1525907,460000,778627,778627,NA
2005,gfb.27.nea,demersal,2018,NA,NA,1,NA,2960,2960,NA
2006,gfb.27.nea,demersal,2018,NA,NA,1,NA,2686,2686,NA
2007,gfb.27.nea,demersal,2018,NA,NA,1,NA,2949,2949,NA
2008,gfb.27.nea,demersal,2018,NA,NA,1,NA,2038,2038,NA
2009,gfb.27.nea,demersal,2018,NA,NA,1,NA,1311,1311,NA
2010,gfb.27.nea,demersal,2018,NA,NA,1,NA,1288,1288,NA
2011,gfb.27.nea,demersal,2018,NA,NA,1,NA,2201,2201,NA
2012,gfb.27.nea,demersal,2018,NA,NA,1,NA,2641,2641,NA
1935,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,1534,1534,NA
1936,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,830,830,NA
1937,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,616,616,NA
1938,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,329,329,NA
1939,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,459,459,NA
1940,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,846,846,NA
1941,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,1663,1663,NA
1942,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,955,955,NA
1943,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,824,824,NA
1944,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,678,678,NA
1945,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,1148,1148,NA
1946,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,1362,1362,NA
1947,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,1437,1437,NA
1948,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,1987,1987,NA
1949,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,375,375,NA
1950,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,2074,2074,NA
1951,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,2861,2861,NA
1952,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,2953,2953,NA
1953,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,2601,2601,NA
1954,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,4090,4090,NA
1955,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,3300,3300,NA
1956,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,3939,3939,NA
1957,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,4635,4635,NA
1958,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,4192,4192,NA
1959,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,7939,7939,NA
1960,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,10961,10961,NA
1961,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,11813,11813,NA
1962,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,13360,13360,NA
1963,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,14540,14540,NA
1964,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,40391,40391,NA
1965,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,34751,34751,NA
1966,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,26321,26321,NA
1967,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,24267,24267,NA
1968,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,26168,26168,NA
1969,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,43789,43789,NA
1970,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,89484,89484,NA
1971,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,79034,79034,NA
1972,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,43055,43055,NA
1973,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,29938,29938,NA
1974,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,37763,37763,NA
1975,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,38172,38172,NA
1976,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,36074,36074,NA
1977,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,28827,28827,NA
1978,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,24617,24617,NA
1979,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,17312,17312,NA
1980,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,13284,13284,NA
1981,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,15018,15018,NA
1982,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,16789,16789,NA
1983,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,22147,22147,NA
1984,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,21883,21883,NA
1985,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,19945,19945,NA
1986,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,22875,22875,NA
1987,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,19112,19112,NA
1988,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,19587,19587,NA
1989,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,20138,20138,NA
1990,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,23183,23183,NA
1991,ghl.27.1-2,demersal,2019,NA,NA,NA,NA,33320,33320,NA
1992,ghl.27.1-2,demersal,2019,0.023,NA,367295,NA,8602,8602,NA
1993,ghl.27.1-2,demersal,2019,0.027,NA,447306,NA,11933,11933,NA
1994,ghl.27.1-2,demersal,2019,0.018,NA,503851,NA,9226,9226,NA
1995,ghl.27.1-2,demersal,2019,0.022,NA,543258,NA,11734,11734,NA
1996,ghl.27.1-2,demersal,2019,0.026,NA,561725,NA,14347,14347,NA
1997,ghl.27.1-2,demersal,2019,0.017,NA,566085,NA,9410,9410,NA
1998,ghl.27.1-2,demersal,2019,0.021,NA,568614,NA,11893,11893,NA
1999,ghl.27.1-2,demersal,2019,0.035,NA,565486,NA,19517,19517,NA
2000,ghl.27.1-2,demersal,2019,0.026,NA,560294,NA,14297,14297,NA
2001,ghl.27.1-2,demersal,2019,0.029,NA,558722,NA,16365,16365,NA
2002,ghl.27.1-2,demersal,2019,0.024,NA,557754,NA,13293,13293,NA
2003,ghl.27.1-2,demersal,2019,0.024,NA,559312,NA,13447,13447,NA
2004,ghl.27.1-2,demersal,2019,0.034,NA,559751,NA,18899,18899,NA
2005,ghl.27.1-2,demersal,2019,0.034,NA,558818,NA,18834,18834,NA
2006,ghl.27.1-2,demersal,2019,0.031,NA,568786,NA,17904,17904,NA
2007,ghl.27.1-2,demersal,2019,0.026,NA,591555,NA,15453,15453,NA
2008,ghl.27.1-2,demersal,2019,0.022,NA,626103,NA,13792,13792,NA
2009,ghl.27.1-2,demersal,2019,0.019,NA,667548,NA,12990,12990,NA
2010,ghl.27.1-2,demersal,2019,0.021,NA,709186,NA,15229,15229,NA
