type_var,year,typeTotal
Estonia,2012,11.3519361999999
Estonia,2013,16.7188109499999
Estonia,2015,32.05733725
Estonia,2016,41.1418145
Estonia,2017,35.27858775
Estonia,2018,28.3228314000001
France,2009,1.03819370138889
France,2010,3.24971587027778
France,2011,4.90882262777778
France,2012,5.85787119527777
France,2013,9.90398717694445
France,2014,10.08015603
France,2015,13.4874817827778
France,2016,12.5217120516666
France,2017,15.5796587627778
France,2018,18.1864778955556
Germany,2009,23.7457297333333
Germany,2010,18.9458776333332
Germany,2011,13.9133860333333
Germany,2012,16.1830829666666
Germany,2013,12.1163953000001
Germany,2014,12.4774493333334
Germany,2015,12.5030143333333
Germany,2016,13.5694333333334
Germany,2017,6.57205666666667
Germany,2018,15.8002266666667
Iceland,2009,8.62428547922832
Iceland,2010,8.3799625745047
Iceland,2011,13.3454487969328
Iceland,2012,13.6585134928235
Iceland,2013,11.787966736421
Iceland,2014,14.2095643887109
Iceland,2015,19.1061983473174
Iceland,2016,25.1159264030364
Iceland,2017,14.5654453911903
Iceland,2018,9.75349754927224
Norway,2011,383.326604125255
Norway,2012,415.681763395715
Norway,2013,410.431809786824
Norway,2014,512.148840322633
Norway,2015,681.886848699113
Norway,2016,690.708473292498
Norway,2017,742.301157224377
United Kingdom,2009,0.022032
United Kingdom,2012,2.5714455
United Kingdom,2013,9.51078287999999
United Kingdom,2014,15.85955824
United Kingdom,2015,11.38949496
United Kingdom,2016,15.37504624
United Kingdom,2017,23.338547532
United Kingdom,2018,25.4873537500001
other,2009,11.8003234666667
other,2010,13.0961516433334
other,2011,5.20098853333332
other,2012,4.84005993966667
other,2013,11.7167911983335
other,2014,19.0768931966269
other,2015,38.5744515338409
other,2016,22.8990229899812
other,2017,37.4539426673332
other,2018,18.3927342211
