type_var,YEAR,typeTotal
Demersal,1950,692.475
Demersal,1951,835.835
Demersal,1952,825.033
Demersal,1953,625.603
Demersal,1954,614.873
Demersal,1955,1456.61
Demersal,1956,1686.541
Demersal,1957,1079.099
Demersal,1958,1014.112
Demersal,1959,1078.668
Demersal,1960,1072.18
Demersal,1961,1124.879
Demersal,1962,1280.391
Demersal,1963,1138.666
Demersal,1964,798.207
Demersal,1965,823.247
Demersal,1966,935.228
Demersal,1967,947.079
Demersal,1968,1422.773
Demersal,1969,1713.335
Demersal,1970,1661.162
Demersal,1971,1495.679
Demersal,1972,1282.755
Demersal,1973,1487.866
Demersal,1974,1837.113
Demersal,1975,1425.6
Demersal,1976,1366.743
Demersal,1977,1301.994
Demersal,1978,1036.775
Demersal,1979,812.019
Demersal,1980,710.067
Demersal,1981,748.042
Demersal,1982,752.657
Demersal,1983,593.405
Demersal,1984,552.215
Demersal,1985,548.522
Demersal,1986,679.066
Demersal,1987,849.074
Demersal,1988,714.485
Demersal,1989,579.813
Demersal,1990,384.418
Demersal,1991,501.753
Demersal,1992,664.26
Demersal,1993,902.832
Demersal,1994,1113.659
Demersal,1995,1131.455
Demersal,1996,1164.381
Demersal,1997,1120.926
Demersal,1998,910.079
Demersal,1999,806.078
Demersal,2000,710.249
Demersal,2001,760.062
Demersal,2002,786.034
Demersal,2003,792.937
Demersal,2004,838.675
Demersal,2005,846.351
Demersal,2006,875.10939
Demersal,2007,868.29622
Demersal,2008,837.588
Demersal,2009,929.09361
Demersal,2010,1114.65045
Demersal,2011,1236.55229
Demersal,2012,1268.52959
Demersal,2013,1370.21881
Demersal,2014,1359.16018
Demersal,2015,1272.695922
Demersal,2016,1322.573325
Demersal,2017,1322.055672
Pelagic,1950,26.069
Pelagic,1951,45.925
Pelagic,1952,56.888
Pelagic,1953,28.257
Pelagic,1954,32.06
Pelagic,1955,62.98
Pelagic,1956,66.287
Pelagic,1957,100.498
Pelagic,1958,184.062
Pelagic,1959,189.576
Pelagic,1960,189.268
Pelagic,1961,288.827
Pelagic,1962,46.369
Pelagic,1963,86.045
Pelagic,1964,100.652
Pelagic,1965,279.36
Pelagic,1966,436.058
Pelagic,1967,439.356
Pelagic,1968,567.334
Pelagic,1969,735.673
Pelagic,1970,1372.898
Pelagic,1971,1464.976
Pelagic,1972,1656.295
Pelagic,1973,1411.947
Pelagic,1974,1262.577
Pelagic,1975,1712.356
Pelagic,1976,2883.127
Pelagic,1977,3145.749
Pelagic,1978,2183.881
Pelagic,1979,1959.913
Pelagic,1980,1810.855
Pelagic,1981,2212.389
Pelagic,1982,1926.903
Pelagic,1983,2510.527
Pelagic,1984,1702.061
Pelagic,1985,965.612
Pelagic,1986,254.743
Pelagic,1987,55.447
Pelagic,1988,155.198
Pelagic,1989,80.323
Pelagic,1990,87.705
Pelagic,1991,1024.104
Pelagic,1992,1189.755
Pelagic,1993,627.915
Pelagic,1994,41.925
Pelagic,1995,35.209
Pelagic,1996,66.564
Pelagic,1997,49.684
Pelagic,1998,46.682
Pelagic,1999,128.335
Pelagic,2000,393.808
Pelagic,2001,617.873
Pelagic,2002,769.186
Pelagic,2003,458.296
Pelagic,2004,29.263
Pelagic,2005,17.64
Pelagic,2006,33.18781
Pelagic,2007,24.97203
Pelagic,2008,26.08871
Pelagic,2009,315.62691
Pelagic,2010,356.34776
Pelagic,2011,427.91611
Pelagic,2012,422.40782
Pelagic,2013,218.27259
Pelagic,2014,82.4963
Pelagic,2015,138.92703
Pelagic,2016,32.357562
Pelagic,2017,25.260839
undefined,1950,28.793
undefined,1951,78.963
undefined,1952,58.665
undefined,1953,77.861
undefined,1954,119.916
undefined,1955,121.254
undefined,1956,175.405
undefined,1957,152.138
undefined,1958,61.208
undefined,1959,56.259
undefined,1960,44.565
undefined,1961,55.896
undefined,1962,58.125
undefined,1963,94.388
undefined,1964,131.633
undefined,1965,119.506
undefined,1966,102.014
undefined,1967,104.117
undefined,1968,96.322
undefined,1969,80.247
undefined,1970,104.778
undefined,1971,107.234
undefined,1972,91.297
undefined,1973,55.167
undefined,1974,79.99
undefined,1975,53.819
undefined,1976,35.921
undefined,1977,95.468
undefined,1978,104.347
undefined,1979,124.377
undefined,1980,89.451
undefined,1981,133.984
undefined,1982,95.244
undefined,1983,64.276
undefined,1984,95.331
undefined,1985,81.024
undefined,1986,73.076
undefined,1987,103.028
undefined,1988,86.358
undefined,1989,64.344
undefined,1990,47.437
undefined,1991,40.313
undefined,1992,56.298
undefined,1993,44.545
undefined,1994,50.046
undefined,1995,48.008
undefined,1996,46.292
undefined,1997,65.303
undefined,1998,80.926
undefined,1999,73.122
undefined,2000,94.462
undefined,2001,86.985
undefined,2002,63.362
undefined,2003,56.726
undefined,2004,53.161
undefined,2005,62.307
undefined,2006,68.93933
undefined,2007,63.1767
undefined,2008,60.72502
undefined,2009,62.96607
undefined,2010,52.59493
undefined,2011,50.5256
undefined,2012,51.13912
undefined,2013,60.75665
undefined,2014,64.90469
undefined,2015,80.959882
undefined,2016,87.985036
undefined,2017,79.380315
other,1950,9.28
other,1951,14.76
other,1952,7.556
other,1953,6.883
other,1954,8.892
other,1955,11.743
other,1956,10.922
other,1957,11.77
other,1958,20.814
other,1959,111.454
other,1960,39.901
other,1961,26.41
other,1962,22.538
other,1963,19.941
other,1964,10.948
other,1965,11.516
other,1966,9.836
other,1967,8.382
other,1968,8.345
other,1969,20.584
other,1970,21.561
other,1971,15.113
other,1972,16.253
other,1973,34.019
other,1974,27.737
other,1975,35.59
other,1976,34.952
other,1977,31.826
other,1978,44.749
other,1979,55.225
other,1980,22.266
other,1981,49.438
other,1982,70.129
other,1983,112.248
other,1984,133.443
other,1985,129.565
other,1986,70.557
other,1987,45.052
other,1988,51.102
other,1989,67.733
other,1990,88.32
other,1991,85.178
other,1992,81.26
other,1993,72.67
other,1994,39.294
other,1995,33.251
other,1996,41.056
other,1997,41.401
other,1998,61.49
other,1999,82.061
other,2000,89.01
other,2001,63.811
other,2002,65.964
other,2003,44.367
other,2004,48.476
other,2005,48.536
other,2006,37.03038
other,2007,37.86725
other,2008,35.84637
other,2009,36.63075
other,2010,38.23594
other,2011,43.37232
other,2012,34.43954
other,2013,29.57648
other,2014,30.78864
other,2015,43.533258
other,2016,41.715231
other,2017,41.826797
